profileName,chart_name,login,tweets,following,followers,likes,comment,pic
Голос Америки,Голос Америки,GolosAmeriki,89400,370,205000,66,,https://pbs.twimg.com/profile_images/954533050523713537/nd7kUaPo_400x400.jpg
Анастасия Приходько,Анастасія Приходько,AnPrikhodko,5228,3,204000,15,,https://pbs.twimg.com/profile_images/979046805848707073/hJFnuG9m_400x400.jpg
Sukhomlin Aleksandr,Sukhomlin Aleksandr,alsukhomlin,581,50,197000,143,,https://pbs.twimg.com/profile_images/816275211536449537/1Hzsllwq_400x400.jpg
UKRMEDIA,UKRMEDIA,ukrmedianet,21800,17,197000,37,,https://pbs.twimg.com/profile_images/844158854183161856/3txLjQ1v_400x400.jpg
Андрій Парубій,Андрій Парубій,AndriyParubiy,1500,111,195000,44,,https://pbs.twimg.com/profile_images/644413404195590144/1U6fpOwE_400x400.jpg
Kyiv Post,Kyiv Post,KyivPost,38200,839,191000,763,,https://pbs.twimg.com/profile_images/833622521777946625/MqPTETnC_400x400.jpg
Зроблено в Україні,Зроблено в Україні,sdelanoVukraine,4432,1619,188000,734,,https://pbs.twimg.com/profile_images/636882469392879616/QD8sF43t_400x400.png
Женя Сабурова,Женя Сабурова,ZhenyaSaburova,1663,1095,185000,18200,,https://pbs.twimg.com/profile_images/774660870387462144/WrU-l5eQ_400x400.jpg
СБ України,СБ України,ServiceSsu,6780,46,183000,0,,https://pbs.twimg.com/profile_images/514329624973541378/aJ4yMHa__400x400.jpeg
Левый Берег LB.ua,Левый Берег LB.ua,lb_ua,43400,217,182000,12,,https://pbs.twimg.com/profile_images/446957846475710464/JLkf9fGY_400x400.jpeg
Andriy Shevchenko,Андрій Шевченко,jksheva7,212,111,175000,31,,https://pbs.twimg.com/profile_images/598858127623200768/r4AM3uDn_400x400.jpg
Патрульна Поліція,Патрульна Поліція,patrolpoliceua,1780,37,171000,2710,,https://pbs.twimg.com/profile_images/616945190155251712/k3Clu2xB_400x400.jpg
Vitalii Okhrei,Vitalii Okhrei,1FUTR,3493,60000,165000,1524,,https://pbs.twimg.com/profile_images/562358713239891968/Netgq6Yc_400x400.jpeg
За Мир,За Мир,my_likers,5084,34900,163000,113,,https://pbs.twimg.com/profile_images/665266971198533632/rwb7pXIp_400x400.jpg
Старшина Запаса,Старшина Запаса,StarshinaZapasa,9366,84,162000,38,,https://pbs.twimg.com/profile_images/2994180903/dbccc75988a47ee854ecf4446f2660db_400x400.jpeg
Andriy Shevchenko,Андрій Шевченко,AShevch,10000,96,161000,1262,,https://pbs.twimg.com/profile_images/736946725676404736/buVDWY3r_400x400.jpg
Daniil Teslenko,Данило Тесленко,ZeusCS_GO,7543,449,161000,2789,,https://pbs.twimg.com/profile_images/980652753189068801/6XpvqSSi_400x400.jpg
Volodymyr Groysman,Володимир Гройсман,VGroysman,6670,110,147000,94,,https://pbs.twimg.com/profile_images/907691899552661504/VLDvVPzT_400x400.jpg
Volodymyr Ariev,Володимир Ар'єв,VolodymyrAriev,4012,203,147000,480,,https://pbs.twimg.com/profile_images/952164575620812800/qAI9bmY5_400x400.jpg
PrivatBank,Приватбанк,privatbankua,60500,1,142000,85,,https://pbs.twimg.com/profile_images/957912926127579136/Vchzj67S_400x400.jpg
unian,УНІАН,unian,180000,334,135000,74,,https://pbs.twimg.com/profile_images/450956002603454465/DtrB3kNU_400x400.png
Антон Геращенко,Антон Геращенко,Gerashchenko7,1809,14,127000,7,,https://pbs.twimg.com/profile_images/760969794032205824/VGRthvlk_400x400.jpg
Верховна Рада України,Верховна Рада України,verkhovna_rada,43000,251,126000,1133,,https://pbs.twimg.com/profile_images/862251244555042818/BmstALI8_400x400.jpg
AndriyKoval,AndriyKoval,AndriyKoval,12200,71700,124000,3830,,https://pbs.twimg.com/profile_images/854729735427043329/YGjiRt3r_400x400.jpg
APU,Адміністрація Президента,APUkraine,11400,416,118000,903,,https://pbs.twimg.com/profile_images/836190619009679360/k6WWo9o8_400x400.jpg
Кабмін України,Кабмін України,Kabmin_UA,48100,191,118000,239,,https://pbs.twimg.com/profile_images/734765304581066753/lkIE8PnS_400x400.jpg
МВС України,МВС України,MVS_UA,28100,154,118000,1108,,https://pbs.twimg.com/profile_images/869155151919153152/pn7QrbDw_400x400.jpg
Денис Казанський,Денис Казанський,den_kazansky,5025,273,112000,1434,,https://pbs.twimg.com/profile_images/493872059244482560/5d1NO75P_400x400.jpeg
Сергей Аксёнов,Сергей Аксёнов,aksenov_sv,3391,14,110000,1,,https://pbs.twimg.com/profile_images/950994066824679424/WAh0soUf_400x400.jpg
Цензор.НЕТ,Цензор.НЕТ,censor_net,85100,526,103000,20,,https://pbs.twimg.com/profile_images/378800000082843823/36d1c477fb3917cd73f073cd506b72cf_400x400.jpeg
Еспресо,Еспресо,EspresoTV,142000,235,102000,361,,https://pbs.twimg.com/profile_images/714781270891474945/mWkS3Y5F_400x400.jpg
ZAXID.NET,ZAXID.NET,ZaxidNet,95500,1397,87100,5280,,https://pbs.twimg.com/profile_images/965955001301524480/bn0Z7bYH_400x400.jpg
Олег Царев,Олег Царев,OlegTsarov,3294,148,80700,1619,,https://pbs.twimg.com/profile_images/578456461187002368/Bh2bOW1P_400x400.jpeg
Интерфакс-Украина,Интерфакс-Украина,interfaxua,208000,139,80600,295,,https://pbs.twimg.com/profile_images/1195769020/Untitled-1_400x400.gif
В'ячеслав Кириленко,В'ячеслав Кириленко,KyrylenkoVyach,4260,263,72500,15,,https://pbs.twimg.com/profile_images/917340191614029824/2FYKtayp_400x400.jpg
Elina Svitolina,Elina Svitolina,ElinaSvitolina,1573,95,68700,830,,https://pbs.twimg.com/profile_images/859496646522089472/T18S2uZV_400x400.jpg
Defence of Ukraine,Defence of Ukraine,DefenceU,6245,151,65100,6,,https://pbs.twimg.com/profile_images/821260337152458752/md7W5Y_v_400x400.jpg
Олександр Бригинець,Олександр Бригинець,bryhynets,13600,96,63200,149,,https://pbs.twimg.com/profile_images/904736885263790082/Ib6MVG1s_400x400.jpg
ВО Свобода,ВО Свобода,vo_svoboda,13800,148,59600,253,,https://pbs.twimg.com/profile_images/862981782098104320/o1sXRSS5_400x400.jpg
ДК УкрОборонПром,ДК УкрОборонПром,ukroboronprom,1309,22,58300,3,,https://pbs.twimg.com/profile_images/828894292714336256/vHeKNpQY_400x400.jpg
Ольга Фреймут,Ольга Фреймут,Olga_Freymut,1584,30,55200,7,,https://pbs.twimg.com/profile_images/552585432941473792/x-emAYlr_400x400.jpeg
ЧЕСНО,ЧЕСНО,chesno_movement,9123,1331,49200,319,,https://pbs.twimg.com/profile_images/733258698592772097/pCNux2d1_400x400.jpg
Львівський батяр,Львівський батяр,KarpenkoBatjar,45100,332,40800,260,,https://pbs.twimg.com/profile_images/539985591056609281/KrEaMaDs_400x400.jpeg
Пушилин Денис,Пушилин Денис,pushilindenis,599,113,40000,10,,https://pbs.twimg.com/profile_images/801312725032980480/0mL93Mvr_400x400.jpg
Віктор Янукович ����,Віктор Янукович,ua_yanukovych,2107,49,38300,0,,https://pbs.twimg.com/profile_images/734423238/1227187095_400x400.jpg
УДАР Віталія Кличка,УДАР Віталія Кличка,udarKlichko,9841,243,31400,4,,https://pbs.twimg.com/profile_images/2586063451/rdl6xvhzrj9xchpl01sw_400x400.jpeg
Tymoshenko.UA,Tymoshenko.UA,TymoshenkoUA,6124,68,30300,121,,https://pbs.twimg.com/profile_images/449177260545699840/F8EzpwS0_400x400.jpeg
Vasyl Gatsko,Василь Гацько,Vasyl_Gatsko,1812,724,24100,348,,https://pbs.twimg.com/profile_images/942908591257907200/oMIsb4Df_400x400.jpg
ДемАльянс,ДемАльянс,demalliance,13200,519,21400,293,,https://pbs.twimg.com/profile_images/687946914227068932/SBPJdvX5_400x400.png
Віктор Балога,Віктор Балога,ViktorBaloha,4318,59,19100,1,,https://pbs.twimg.com/profile_images/2589556827/k1ehx5zuxlm3upmsd3rf_400x400.jpeg
Site Maidan.Org.Ua,Site Maidan.Org.Ua,sitemaidan,44800,386,15900,1066,,https://pbs.twimg.com/profile_images/1166277226/96771fe0-c1b1-4f0a-8a1d-0308b8f3d0e6_400x400.png
Сергій Притула,Сергій Притула,SergiyPritula,365,25,14400,0,,https://pbs.twimg.com/profile_images/500321696734142465/PDp47ng6_400x400.jpeg
7887temp9887,7887temp9887,7887temp9887,1838,1,12000,0,,https://abs.twimg.com/sticky/default_profile_images/default_profile_400x400.png
