profileName,login,tweets,following,followers,likes,pic,comment,chart_name,group
Майдан Одесса,Maidan_info,672,130,6893,4,https://pbs.twimg.com/profile_images/422180248747139074/uADxDv1S_400x400.png,,Майдан Одесса,politics
Maksim Chmerkovskiy,MaksimC,8142,53,715000,304,https://pbs.twimg.com/profile_images/485291396971372544/ynT85JzR_400x400.jpeg,,Максим Чмерковський,star
Виктор Медведчук,MedvedchukVV,5070,30,499000,461,https://pbs.twimg.com/profile_images/889174019081109506/7o0oLhVY_400x400.jpg,,Віктор Медведчук,politics
Дмитрий Медведев,MedvedevRussia,1410,52,5470000,1,https://pbs.twimg.com/profile_images/2348558617/x0vh6bui3sq97vt4jd2n_400x400.png,rus,Дмитрий Медведев,politics
Mustafa Nayyem,mefimus,12500,131,885000,368,https://pbs.twimg.com/profile_images/2887650760/ff96b02aedb23919b40a4726d0cd13a3_400x400.jpeg,,Мустафа Найєм,politics
Весёлый студент,meybec,18400,69300,258000,80300,https://pbs.twimg.com/profile_images/654788917380579330/GfLgHnRh_400x400.jpg,trash,Весёлый студент,
Майкл Щур,MichaelShchur,2398,52,234000,26,https://pbs.twimg.com/profile_images/378800000296343976/471e2ae85706b04c7f38424a1f3ba6bb_400x400.jpeg,,Майкл Щур,media
МИД России ����,MID_RF,48000,1306,1240000,16800,https://pbs.twimg.com/profile_images/979415506997383168/Ea36NgRu_400x400.jpg,rus,МИД России,politics
Max Levchin,mlevchin,2990,409,212000,259,https://pbs.twimg.com/profile_images/889896929315831809/MflDZmUJ_400x400.jpg,,Max Levchin,
mr. Milka,muff16792,51,6,345000,0,https://pbs.twimg.com/profile_images/435187231397904384/KM-aUjsF_400x400.png,,mr. Milka,
МВС України,MVS_UA,28300,155,118000,1127,https://pbs.twimg.com/profile_images/869155151919153152/pn7QrbDw_400x400.jpg,,МВС України,politics
Nataliya Mykolska,mykolska,4631,370,4289,3739,https://pbs.twimg.com/profile_images/975052196776697856/oNNeonGE_400x400.jpg,,Наталія Микольська,politics
За Мир,my_likers,5084,34800,158000,113,https://pbs.twimg.com/profile_images/665266971198533632/rwb7pXIp_400x400.jpg,,За Мир,
Natus Vincere,natusvincere,26800,240,472000,11200,https://pbs.twimg.com/profile_images/989816265790377985/bAoXHg3F_400x400.jpg,,Natus Vincere,star
Alexey Navalny,navalny,113000,1050,2230000,2327,https://pbs.twimg.com/profile_images/980761782909272064/h-qrVrmY_400x400.jpg,rus,Alexey Navalny,politics
Новости Донбасса,novostidnua,117000,993,244000,5606,https://pbs.twimg.com/profile_images/685256196866097152/S6Qfybuf_400x400.png,,Новости Донбасса,media
НТВ,ntvru,197000,52,1810000,3,https://pbs.twimg.com/profile_images/979104432456597504/TUoqE5DY_400x400.jpg,rus,НТВ,media
Оптимист,obmenik,12000,86300,345000,91200,https://pbs.twimg.com/profile_images/824278143087374337/VIerNoO2_400x400.jpg,,Оптимист,
Vova Ohorodnichuk,ohorodnichuk,1,2852,227000,0,https://pbs.twimg.com/profile_images/692980120492072962/EpwK3HDH_400x400.jpg,,Vova Ohorodnichuk,
Океан Ельзи,okeanelzy,2271,357000,17,0,https://pbs.twimg.com/profile_images/878580407859638272/bMiPbPIQ_400x400.jpg,,Океан Ельзи,star
Олег Царев,OlegTsarov,3294,148,81000,1659,https://pbs.twimg.com/profile_images/578456461187002368/Bh2bOW1P_400x400.jpeg,,Олег Царев,politics
Oleksandr Doniy,oles_doniy,5573,15000,67300,1363,https://pbs.twimg.com/profile_images/593781940932587520/gWBQM2Os_400x400.jpg,,Олександр Доній,politics
Ольга Фреймут,Olga_Freymut,1581,30,55100,7,https://pbs.twimg.com/profile_images/552585432941473792/x-emAYlr_400x400.jpeg,,Ольга Фреймут,star
Олег Тягнибок,o_tiahnybok,4368,2585,208000,647,https://pbs.twimg.com/profile_images/815824372300705792/N-lw4Er7_400x400.jpg,,Олег Тягнибок,politics
Олег Ляшко,OVLiashko,3060,872,304000,15,https://pbs.twimg.com/profile_images/934757560594419712/lIZ1nmFy_400x400.jpg,,Олег Ляшко,politics
Палата №6,palnom6,41000,1,2090000,0,https://pbs.twimg.com/profile_images/840135572962267137/mQC-shgP_400x400.jpg,trash,Палата №6,
Патрульна Поліція,patrolpoliceua,1780,37,172000,2709,https://pbs.twimg.com/profile_images/616945190155251712/k3Clu2xB_400x400.jpg,,Патрульна Поліція,politics
Pavlo Klimkin,PavloKlimkin,2778,170,362000,331,https://pbs.twimg.com/profile_images/958759614383886336/e7QX9y70_400x400.jpg,,Павло Клімкін,politics
Циничный Реалист,pealict,28100,176000,616000,143000,https://pbs.twimg.com/profile_images/3208360824/7bc2e12cd8d7b04130b17baf2ae38e1e_400x400.jpeg,trash,Циничный Реалист,
Пізнай!,piznay,6266,55200,221000,2144,https://pbs.twimg.com/profile_images/737013725060845568/7ULXXXYN_400x400.jpg,,Пізнай!,
Подслушано,Podslyshano,23800,1,2640000,0,https://pbs.twimg.com/profile_images/973064481088720896/wOeg3fpp_400x400.jpg,trash,Подслушано,
АЗОВ,Polk_Azov,11800,7,95100,885,https://pbs.twimg.com/profile_images/631526922003025920/ghLdI2x0_400x400.jpg,,АЗОВ,politics
Петро Порошенко,poroshenko,11700,28,1310000,17,https://pbs.twimg.com/profile_images/622151044831776768/BQ5ifWI__400x400.png,,Петро Порошенко,politics
Vitaly Portnikov,portnikov,13800,173,300000,20,https://pbs.twimg.com/profile_images/612038743332155392/LEbvI1y2_400x400.jpg,,Віталій Портніков,politics
Капітан Прайс,Price_Cap_UA,12900,125,21500,394,https://pbs.twimg.com/profile_images/685532411246030848/xbz4H-OE_400x400.jpg,,Капітан Прайс,politics
PrivatBank,privatbankua,60500,1,144000,95,https://pbs.twimg.com/profile_images/957912926127579136/Vchzj67S_400x400.jpg,,Приватбанк,
Пушилин Денис,pushilindenis,599,113,39900,10,https://pbs.twimg.com/profile_images/801312725032980480/0mL93Mvr_400x400.jpg,,Пушилин Денис,politics
Владимир Путин,PutinRF,2824,3,2360000,32,https://pbs.twimg.com/profile_images/2201178738/Vladimir_Putin_400x400.jpg,rus,Владимир Путин,politics
Радіо Свобода,radiosvoboda,389000,777,458000,2461,https://pbs.twimg.com/profile_images/779281727550320640/S94grX4T_400x400.jpg,,Радіо Свобода,media
РИА Новости,rianru,435000,40,3040000,3,https://pbs.twimg.com/profile_images/979261264848457728/rucX4LoY_400x400.jpg,rus,РИА Новости,media
Maryana Ro,RoZmro,3246,4,1600000,3357,https://pbs.twimg.com/profile_images/933456336859394048/jU8ssdwB_400x400.jpg,rus,Maryana Ro,star
RT,RT_com,254000,628,2700000,857,https://pbs.twimg.com/profile_images/875388705258831872/H4_uLagc_400x400.jpg,rus,RT,media
Mikheil Saakashvili,SaakashviliM,3215,190,249000,36,https://pbs.twimg.com/profile_images/789022264289325056/AgA9yVEc_400x400.jpg,,Міхеіл Саакашвілі,politics
Об'єднання Самопоміч,SamopomichUA,1066,46,6509,51,https://pbs.twimg.com/profile_images/535710517407387648/Ac2jjtFd_400x400.png,,Об'єднання Самопоміч,politics
Sasha Spilberg,SashaSpilberg,2782,189,1510000,708,https://pbs.twimg.com/profile_images/908823174099488774/QgG8GOQ7_400x400.jpg,rus,Sasha Spilberg,star
Mister Twister,sa_spilberg,234,11,240000,61,https://pbs.twimg.com/profile_images/834540455236923396/qcYlUU34_400x400.jpg,,Mister Twister,
Зроблено в Україні,sdelanoVukraine,4432,1619,188000,734,https://pbs.twimg.com/profile_images/636882469392879616/QD8sF43t_400x400.png,,Зроблено в Україні,
Сергій Притула,SergiyPritula,365,25,14400,0,https://pbs.twimg.com/profile_images/500321696734142465/PDp47ng6_400x400.jpeg,,Сергій Притула,star
СБ України,ServiceSsu,6806,46,184000,0,https://pbs.twimg.com/profile_images/514329624973541378/aJ4yMHa__400x400.jpeg,,СБ України,politics
Шкварки News,ShkvarkiUA,38800,793,21300,5641,https://pbs.twimg.com/profile_images/819077515566350336/okm8wuxw_400x400.jpg,,Шкварки News,politics
Site Maidan.Org.Ua,sitemaidan,44800,387,15900,1070,https://pbs.twimg.com/profile_images/1166277226/96771fe0-c1b1-4f0a-8a1d-0308b8f3d0e6_400x400.png,,Site Maidan.Org.Ua,media
Roman Skrypin,skrypin,2545,272,339000,124,https://pbs.twimg.com/profile_images/879436513767030784/2bNOf7ZG_400x400.jpg,,Роман Скрипін,media
Бабский список дел,slovnic,15400,67300,582000,79600,https://pbs.twimg.com/profile_images/596700988477743104/-J8vRFsE_400x400.jpg,trash,Бабский список дел,
Vadim Dovganyuk,SnowCalmth,48800,74600,308000,94100,https://pbs.twimg.com/profile_images/935683677551546373/jiTW1-vC_400x400.jpg,,Vadim Dovganyuk,
Duny,souvodka,28500,79600,364000,19700,https://pbs.twimg.com/profile_images/898347225306279940/kvTNGDLD_400x400.jpg,,Duny,
Старшина Запаса,StarshinaZapasa,9412,85,163000,38,https://pbs.twimg.com/profile_images/2994180903/dbccc75988a47ee854ecf4446f2660db_400x400.jpeg,,Старшина Запаса,media
Svyatoslav Vakarchuk,s_vakarchuk,4616,9,2120000,2,https://pbs.twimg.com/profile_images/517608977929342976/oEPN0t2J_400x400.jpeg,,Святослав Вакарчук,star
Tetiana Danylenko,tdanylenko,12700,384,251000,413,https://pbs.twimg.com/profile_images/3733678230/477b09be2f778080410449ca942ce565_400x400.jpeg,,Тетяна Даниленко,media
TEXTY.Org.Ua,TextyOrgUa,10700,970,3717,273,https://pbs.twimg.com/profile_images/2271193548/xjq0v1oqozv4skl253zx_400x400.png,,TEXTY.Org.Ua,media
ТСН.ua (канал 1+1),tsnua,117000,8,909000,4,https://pbs.twimg.com/profile_images/903724210610110467/76_B7kYp_400x400.jpg,,ТСН.ua (канал 1+1),media
Олександр Турчинов,Turchynov,1961,234,294000,19,https://pbs.twimg.com/profile_images/868229925010116614/EWjE_7nh_400x400.jpg,,Олександр Турчинов,politics
Tymoshenko.UA,TymoshenkoUA,6126,68,30300,121,https://pbs.twimg.com/profile_images/449177260545699840/F8EzpwS0_400x400.jpeg,,Tymoshenko.UA,politics
Віктор Янукович ����,ua_yanukovych,2107,49,38400,0,https://pbs.twimg.com/profile_images/734423238/1227187095_400x400.jpg,,Віктор Янукович,politics
УДАР Віталія Кличка,udarKlichko,9852,243,31400,4,https://pbs.twimg.com/profile_images/2586063451/rdl6xvhzrj9xchpl01sw_400x400.jpeg,,УДАР Віталія Кличка,politics
UKRMEDIA,ukrmedianet,21800,17,193000,37,https://pbs.twimg.com/profile_images/844158854183161856/3txLjQ1v_400x400.jpg,,UKRMEDIA,media
ДК УкрОборонПром,ukroboronprom,1315,22,58600,3,https://pbs.twimg.com/profile_images/828894292714336256/vHeKNpQY_400x400.jpg,,ДК УкрОборонПром,politics
УКРОП,ukropcomua,4176,12,3131,0,https://pbs.twimg.com/profile_images/636451393923059712/YEnkYUEO_400x400.png,,УКРОП,politics
Українська правда ✌️,ukrpravda_news,592000,317,997000,384,https://pbs.twimg.com/profile_images/2159143072/547592_417251241622875_114351485246187_1817938_227964652_n_400x400.jpg,,Українська правда,media
Український Троль,uk_troll,26100,94000,293000,73600,https://pbs.twimg.com/profile_images/604625564524261376/IW0hJMML_400x400.png,,Український Троль,
unian,unian,181000,335,135000,74,https://pbs.twimg.com/profile_images/450956002603454465/DtrB3kNU_400x400.png,,УНІАН,media
Vitalii Volochai,v1lat,57600,757,221000,3342,https://pbs.twimg.com/profile_images/733596641656250368/YDFvXaHS_400x400.jpg,,Vitalii Volochai,star
Vasyl Gatsko,Vasyl_Gatsko,1812,724,24000,348,https://pbs.twimg.com/profile_images/942908591257907200/oMIsb4Df_400x400.jpg,,Василь Гацько,politics
Вера Брежнева,VeraBrezhneva,5631,38,3530000,103,https://pbs.twimg.com/profile_images/872195455291150341/5nKhGNLv_400x400.jpg,,Віра Брєжнєва,star
Верховна Рада України,verkhovna_rada,43000,251,126000,1134,https://pbs.twimg.com/profile_images/862251244555042818/BmstALI8_400x400.jpg,,Верховна Рада України,politics
Вести.Ru,vesti_news,277000,64,3520000,210,https://pbs.twimg.com/profile_images/979238346533883904/ekrwq2eB_400x400.jpg,rus,Вести.Ru,media
Volodymyr Groysman,VGroysman,6703,110,148000,94,https://pbs.twimg.com/profile_images/907691899552661504/VLDvVPzT_400x400.jpg,,Володимир Гройсман,politics
Віктор Балога,ViktorBaloha,4323,59,19100,1,https://pbs.twimg.com/profile_images/2589556827/k1ehx5zuxlm3upmsd3rf_400x400.jpeg,,Віктор Балога,politics
Віталій Кличко,Vitaliy_Klychko,750,48,417000,9,https://pbs.twimg.com/profile_images/866962783669293058/58TS0CzE_400x400.jpg,,Віталій Кличко,politics
Статусы l Цитаты,vkrazvitie,33200,88100,292000,90200,https://pbs.twimg.com/profile_images/378800000771545753/5ce30921efcc69125371a9647192cf06_400x400.jpeg,trash,Статусы l Цитаты,
Volodymyr Ariev,VolodymyrAriev,4022,203,149000,485,https://pbs.twimg.com/profile_images/952164575620812800/qAI9bmY5_400x400.jpg,,Володимир Ар'єв,politics
ВО Свобода,vo_svoboda,13900,148,59900,253,https://pbs.twimg.com/profile_images/862981782098104320/o1sXRSS5_400x400.jpg,,ВО Свобода,politics
Vladimir Soloviev,VRSoloviev,146000,392,1550000,3768,https://pbs.twimg.com/profile_images/507133713386598400/7m1JJ2h2_400x400.jpeg,rus,Vladimir Soloviev,media
Украинский выбор,vyborua,4432,1554,2914,2009,https://pbs.twimg.com/profile_images/843858544302706691/cz35IX9R_400x400.jpg,,Украинский выбор,politics
Wings of Phoenix,wings_phoenix,5890,220,75100,100,https://pbs.twimg.com/profile_images/742945920619286528/bh9eindR_400x400.jpg,,Юрій Бірюков,politics
